"ticker","ref_date","price_open","price_high","price_low","price_close","volume","price_adjusted","ret_adjusted_prices","ret_closing_prices","cumret_adjusted_prices"
"^BVSP",2018-01-02,76403,77909,76403,77891,2880300,77891,NA,NA,1
"^BVSP",2018-01-03,77889,78414,77602,77995,3142200,77995,0.00133430860282453,0.00133430860282453,1.00133430860282
"^BVSP",2018-01-04,77998,79135,77998,78647,3486100,78647,0.00832476303145911,0.00832476303145911,1.00965907163428
"^BVSP",2018-01-05,78644,79071,78218,79071,2747100,79071,0.00537669792219802,0.00537669792219802,1.01503576955648
"^BVSP",2018-01-08,79070,79395,78631,79379,2550800,79379,0.00388766661943411,0.00388766661943411,1.01892343617592
"^BVSP",2018-01-09,79379,79415,78699,78864,3458600,78864,-0.00650899968090126,-0.00650899968090126,1.01241443649501
"^BVSP",2018-01-10,78864,78864,78164,78201,2759900,78201,-0.0084424147697336,-0.0084424147697336,1.00397202172528
"^BVSP",2018-01-11,78201,79365,78201,79365,3409400,79365,0.0147750298309164,0.0147750298309164,1.0187470515562
"^BVSP",2018-01-12,79365,79440,78861,79349,3577800,79349,-0.000201620525652449,-0.000201620525652449,1.01854543103054
"^BVSP",2018-01-15,79349,79847,79349,79752,1941000,79752,0.0050659752218506,0.0050659752218506,1.0236114062524
"^BVSP",2018-01-16,79751,80246,79668,79832,2982500,79832,0.00100260686160862,0.00100260686160862,1.024614013114
"^BVSP",2018-01-17,79832,81189,79828,81189,3341200,81189,0.0168553434287097,0.0168553434287097,1.04146935654271
"^BVSP",2018-01-18,81185,81367,80498,80963,3429600,80963,-0.00278750982212926,-0.00278750982212926,1.03868184672058
"^BVSP",2018-01-19,80965,81429,80854,81220,3123200,81220,0.00316926206955984,0.00316926206955984,1.04185110879014
"^BVSP",2018-01-22,81220,81675,80923,81675,2693000,81675,0.0055864352289822,0.0055864352289822,1.04743754401913
"^BVSP",2018-01-23,81676,81676,80524,80678,3711200,80678,-0.0122820339994086,-0.0122820339994086,1.03515551001972
"^BVSP",2018-01-24,80679,83680,80679,83680,5503700,83680,0.0365340768288876,0.0365340768288876,1.07168958684861
"^BVSP",2018-01-26,83680,85531,83680,85531,5410600,85531,0.0218788830117743,0.0218788830117743,1.09356846986038
"^BVSP",2018-01-29,85531,85531,84341,84698,3889600,84698,-0.00978689470004923,-0.00978689470004923,1.08378157516033
"^BVSP",2018-01-30,84697,84697,83804,84482,3566000,84482,-0.00255349470819272,-0.00255349470819272,1.08122808045214
"^BVSP",2018-01-31,84485,86213,84484,84913,4233500,84913,0.00508870899448282,0.00508870899448282,1.08631678944662
"^BVSP",2018-02-01,84913,86028,84833,85495,4085300,85495,0.00683069178592829,0.00683069178592829,1.09314748123255
"^BVSP",2018-02-02,85495,85495,83831,84041,3376900,84041,-0.0171531196988815,-0.0171531196988815,1.07599436153367
"^BVSP",2018-02-05,84040,84311,81861,81861,3253600,81861,-0.0262820880335323,-0.0262820880335323,1.04971227350014
"^BVSP",2018-02-06,81857,84162,80804,83894,5599100,83894,0.0245314102409973,0.0245314102409973,1.07424368374113
"^BVSP",2018-02-07,83894,84410,82548,82767,3886000,82767,-0.0135246659850119,-0.0135246659850119,1.06071901775612
"^BVSP",2018-02-08,82773,83501,81109,81533,4011400,81533,-0.0150215849549633,-0.0150215849549633,1.04569743280116
"^BVSP",2018-02-09,81532,81897,79690,80899,4283400,80899,-0.00780638322054685,-0.00780638322054685,1.03789104958061
"^BVSP",2018-02-14,80901,83782,80901,83543,3910700,83543,0.0321600063164959,0.0321600063164959,1.07005105589711
"^BVSP",2018-02-15,83551,84686,83551,84291,3489300,84291,0.00891362837743838,0.00891362837743838,1.07896468427454
"^BVSP",2018-02-16,84291,84575,83824,84525,3475800,84525,0.00277225085139775,0.00277225085139775,1.08173693512594
"^BVSP",2018-02-19,84525,84956,84525,84793,2088900,84793,0.00316564362689124,0.00316564362689124,1.08490257875283
"^BVSP",2018-02-20,84792,86290,84261,85804,4078100,85804,0.0118526332330151,0.0118526332330151,1.09675521198585
"^BVSP",2018-02-21,85804,87358,85804,86052,4815500,86052,0.00288613923458211,0.00288613923458211,1.09964135122043
"^BVSP",2018-02-22,86050,87159,86050,86686,3535700,86686,0.00734062970409965,0.00734062970409965,1.10698198092453
"^BVSP",2018-02-23,86690,87345,86138,87293,4178600,87293,0.00697788196210827,0.00697788196210827,1.11395986288664
"^BVSP",2018-02-26,87296,88318,87242,87653,4047100,87653,0.00411556146622669,0.00411556146622669,1.11807542435287
"^BVSP",2018-02-27,87649,87839,86613,86935,3534700,86935,-0.00822512484111972,-0.00822512484111972,1.10985029951175
"^BVSP",2018-02-28,86939,87109,85431,85481,5947100,85481,-0.0168665839542774,-0.0168665839542774,1.09298371555747
"^BVSP",2018-03-01,85337,86260,84640,85378,4341300,85378,-0.00120567265964488,-0.00120567265964488,1.09177804289782
"^BVSP",2018-03-02,85378,85761,83897,85761,3884300,85761,0.00447590133643985,0.00447590133643985,1.09625394423426
"^BVSP",2018-03-05,85292,86165,85053,86023,3425200,86023,0.00305034465550284,0.00305034465550284,1.09930428888977
"^BVSP",2018-03-06,86023,86931,85653,85653,3608600,85653,-0.00431045193134775,-0.00431045193134775,1.09499383695842
"^BVSP",2018-03-07,85653,85653,84397,85484,3456800,85484,-0.00197502649848097,-0.00197502649848097,1.09301881045994
"^BVSP",2018-03-08,85510,85830,84491,84985,3694700,84985,-0.00585445359862988,-0.00585445359862988,1.08716435686131
"^BVSP",2018-03-09,84987,86389,84749,86371,3481500,86371,0.0161772009900994,0.0161772009900994,1.10334155785141
"^BVSP",2018-03-12,86386,87046,86386,86900,2602900,86900,0.00610606095193209,0.00610606095193209,1.10944761880334
"^BVSP",2018-03-13,86902,87333,86119,86384,2735800,86384,-0.00595555879541521,-0.00595555879541521,1.10349206000792
"^BVSP",2018-03-14,86383,86970,85691,86051,2561000,86051,-0.00386232973541385,-0.00386232973541385,1.09962973027251
"^BVSP",2018-03-15,86051,86051,84720,84928,3840100,84928,-0.013136305030775,-0.013136305030775,1.08649342524174
"^BVSP",2018-03-16,84928,85495,84525,84886,5446200,84886,-0.000494658872135459,-0.000494658872135459,1.0859987663696
"^BVSP",2018-03-19,84886,84886,83678,83913,3330600,83913,-0.0115286320026745,-0.0115286320026745,1.07447013436693
"^BVSP",2018-03-20,83919,84412,83682,84164,2682000,84164,0.00298672854213345,0.00298672854213345,1.07745686290906
"^BVSP",2018-03-21,84166,85145,84080,84977,3260900,84977,0.00961335526235472,0.00961335526235472,1.08707021817141
"^BVSP",2018-03-22,84984,85499,84197,84768,3241700,84768,-0.0024625185497613,-0.0024625185497613,1.08460769962165
"^BVSP",2018-03-23,84766,85450,84042,84377,3176900,84377,-0.00462326047418996,-0.00462326047418996,1.07998443914746
"^BVSP",2018-03-26,84377,85553,84357,85088,2355600,85088,0.00839116244513999,0.00839116244513999,1.0883756015926
"^BVSP",2018-03-27,85103,85296,83542,83808,2948400,83808,-0.0151575467353079,-0.0151575467353079,1.07321805485729
"^BVSP",2018-03-28,83806,83889,82889,83874,2911400,83874,0.000787204391745076,0.000787204391745076,1.07400525924904
"^BVSP",2018-03-29,83874,85708,83874,85366,3150300,85366,0.0176322223403957,0.0176322223403957,1.09163748158943
"^BVSP",2018-04-02,85365,85675,84166,84666,2598500,84666,-0.00823379075376356,-0.00823379075376356,1.08340369083567
"^BVSP",2018-04-03,84669,85411,84210,84623,2579000,84623,-0.000508007028510423,-0.000508007028510423,1.08289568380716
"^BVSP",2018-04-04,84610,84610,82826,84360,2948300,84360,-0.00311274166459431,-0.00311274166459431,1.07978294214257
"^BVSP",2018-04-05,84374,86148,84374,85210,4257700,85210,0.0100254422292907,0.0100254422292907,1.08980838437186
"^BVSP",2018-04-06,85210,85210,83833,84820,3069100,84820,-0.00458743379341999,-0.00458743379341999,1.08522095057844
"^BVSP",2018-04-09,84832,85110,83155,83307,3174800,83307,-0.0179987847908286,-0.0179987847908286,1.06722216578761
"^BVSP",2018-04-10,83312,84538,83312,84510,3518700,84510,0.0143372913007749,0.0143372913007749,1.08155945708838
"^BVSP",2018-04-11,84494,85417,84340,85246,3370600,85246,0.00867132368530473,0.00867132368530473,1.09023078077369
"^BVSP",2018-04-12,85246,85577,85025,85444,2837000,85444,0.00231999635373263,0.00231999635373263,1.09255077712742
"^BVSP",2018-04-13,85441,85441,84144,84334,3504200,84334,-0.0130760854289233,-0.0130760854289233,1.0794746916985
"^BVSP",2018-04-16,84328,84591,82762,82862,2913400,82862,-0.0176085317098236,-0.0176085317098236,1.06186615998867
"^BVSP",2018-04-17,82862,84191,82810,84086,2628600,84086,0.0146635111749111,0.0146635111749111,1.07652967116359
"^BVSP",2018-04-18,84090,86149,84090,85776,4196900,85776,0.0198991624535894,0.0198991624535894,1.09642883361717
"^BVSP",2018-04-19,85775,86059,85197,85824,3522500,85824,0.0005594405740314,0.0005594405740314,1.09698827419121
"^BVSP",2018-04-20,85823,85823,85025,85550,2990100,85550,-0.00319768732101083,-0.00319768732101083,1.0937905868702
"^BVSP",2018-04-23,85520,85746,84711,85602,2426000,85602,0.000607647022529896,0.000607647022529896,1.09439823389273
"^BVSP",2018-04-24,85603,86578,85106,85469,2845000,85469,-0.00155491026295141,-0.00155491026295141,1.09284332362977
"^BVSP",2018-04-25,85466,85466,84349,85044,3218400,85044,-0.00498496748166168,-0.00498496748166168,1.08785835614811
"^BVSP",2018-04-26,85051,86383,85051,86383,3138000,86383,0.0156221275749889,0.0156221275749889,1.1034804837231
"^BVSP",2018-04-27,86383,87179,86262,86445,0,86445,0.000717476365631324,0.000717476365631324,1.10419796008873
"^BVSP",2018-04-30,86443,86739,85979,86115,2181000,86115,-0.00382476126902956,-0.00382476126902956,1.1003731988197
"^BVSP",2018-05-02,86111,86111,84383,84547,3720600,84547,-0.0183760195359556,-0.0183760195359556,1.08199717928375
"^BVSP",2018-05-03,84547,84562,83178,83288,3977800,83288,-0.0150031115793024,-0.0150031115793024,1.06699406770444
"^BVSP",2018-05-04,83286,83671,82746,83118,3472900,83118,-0.00204319626865485,-0.00204319626865485,1.06495087143579
"^BVSP",2018-05-07,83199,83643,82602,82714,2843000,82714,-0.00487241062351443,-0.00487241062351443,1.06007846081228
"^BVSP",2018-05-08,82715,83409,82201,82956,3949500,82956,0.00292147247084568,0.00292147247084568,1.06299993328312
"^BVSP",2018-05-09,82977,84447,82855,84265,4695400,84265,0.0156562481768551,0.0156562481768551,1.07865618145998
"^BVSP",2018-05-10,84284,86201,84284,85861,4611100,85861,0.0187631146675998,0.0187631146675998,1.09741929612758
"^BVSP",2018-05-11,85861,86406,85183,85220,4379700,85220,-0.00749356152381708,-0.00749356152381708,1.08992573460376
"^BVSP",2018-05-14,85222,86105,84688,85232,4080700,85232,0.000140802102877382,0.000140802102877382,1.09006653670664
"^BVSP",2018-05-15,85225,85231,83830,85130,4405100,85130,-0.00119745027867762,-0.00119745027867762,1.08886908642796
"^BVSP",2018-05-16,85122,86678,85044,86537,3707000,86537,0.0163925682495104,0.0163925682495104,1.10526165467747
"^BVSP",2018-05-17,86537,86537,83377,83622,5508600,83622,-0.0342654247800485,-0.0342654247800485,1.07099622989742
"^BVSP",2018-05-18,83614,83614,81391,83082,5730200,83082,-0.00647857146479563,-0.00647857146479563,1.06451765843263
"^BVSP",2018-05-21,83095,83883,81576,81815,4242200,81815,-0.015367471019773,-0.015367471019773,1.04915018741285
"^BVSP",2018-05-22,81817,83396,81613,82739,4785500,82739,0.0112304740266745,0.0112304740266745,1.06038066143953
"^BVSP",2018-05-23,82742,82742,80867,80867,3875500,80867,-0.0228852450626472,-0.0228852450626472,1.03749541637688
"^BVSP",2018-05-24,80860,80860,79027,80122,6182200,80122,-0.00925535680266237,-0.00925535680266237,1.02824005957422
"^BVSP",2018-05-25,80123,80629,78622,78898,4650100,78898,-0.0153945940541339,-0.0153945940541339,1.01284546552008
"^BVSP",2018-05-28,78886,78886,75337,75356,4176200,75356,-0.0459323286849621,-0.0459323286849621,0.966913136835121
"^BVSP",2018-05-29,75361,77214,75361,76072,5972300,76072,0.00945670993401521,0.00945670993401521,0.976369846769136
"^BVSP",2018-05-30,76058,77097,75515,76754,7442100,76754,0.00892524213594958,0.00892524213594958,0.985295088905086
"^BVSP",2018-06-01,76779,78169,75524,77240,6044400,77240,0.00631195518722085,0.00631195518722085,0.991607044092306
"^BVSP",2018-06-04,77244,78637,77244,78596,4023100,78596,0.0174033499946357,0.0174033499946357,1.00901039408694
"^BVSP",2018-06-05,78595,78892,76412,76642,4499800,76642,-0.0251755781994369,-0.0251755781994369,0.983834815887505
"^BVSP",2018-06-06,76641,76967,75518,76117,4871700,76117,-0.00687359915981193,-0.00687359915981193,0.976961216727693
"^BVSP",2018-06-07,76117,76117,71162,73851,7919200,73851,-0.0302220803485814,-0.0302220803485814,0.946739136379112
"^BVSP",2018-06-08,73848,74031,71679,72942,5952400,72942,-0.0123849450454072,-0.0123849450454072,0.934354191333705
"^BVSP",2018-06-11,72943,73716,71843,72308,3564300,72308,-0.008729831689104,-0.008729831689104,0.925624359644601
"^BVSP",2018-06-12,72308,73322,72124,72754,3889600,72754,0.00614911424536368,0.00614911424536368,0.931773473889965
"^BVSP",2018-06-13,72757,72977,71035,72122,4360200,72122,-0.00872475784885399,-0.00872475784885399,0.923048716041111
"^BVSP",2018-06-14,72151,72708,71344,71421,4281600,71421,-0.00976718576063616,-0.00976718576063616,0.913281530280474
"^BVSP",2018-06-15,71421,71421,69583,70758,6456800,70758,-0.00932633941259339,-0.00932633941259339,0.903955190867881
"^BVSP",2018-06-18,70757,70757,69360,69815,3475200,69815,-0.01341671794173,-0.01341671794173,0.890538472926151
